timestamp,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD
2021-05-04 19:00:00,0.0,0.0,0.0,0.0
2021-05-04 20:00:00,0.0,0.0,0.0,0.0
2021-05-04 21:00:00,0.0,0.0,0.0,0.0
2021-05-04 22:00:00,0.0,0.0,0.0,0.0
2021-05-04 23:00:00,0.0,0.0,0.0,0.0
2021-05-05 00:00:00,0.0,0.0,0.0,0.0
2021-05-05 01:00:00,0.0,0.0,0.0,0.0
2021-05-05 02:00:00,0.0,0.0,0.0,0.0
2021-05-05 03:00:00,0.0,0.0,0.0,0.0
2021-05-05 04:00:00,0.0,0.0,0.0,0.0
2021-05-05 05:00:00,0.0,0.0,0.0,0.0
2021-05-05 06:00:00,0.0,0.0,0.0,0.0
2021-05-05 07:00:00,0.0,0.0,0.0,0.0
2021-05-05 08:00:00,0.0,0.0,0.0,0.0
2021-05-05 09:00:00,0.0,0.0,0.0,0.0
2021-05-05 10:00:00,0.0,0.0,0.0,0.0
2021-05-05 11:00:00,0.0,0.0,0.0,0.0
2021-05-05 12:00:00,0.0,0.0,0.0,0.0
2021-05-05 13:00:00,0.0,0.0,0.0,0.0
2021-05-05 14:00:00,0.0,0.0,0.0,0.0
2021-05-05 15:00:00,0.0,0.0,0.0,0.0
2021-05-05 16:00:00,0.0,0.0,0.0,0.0
2021-05-05 17:00:00,0.0,0.0,0.0,0.0
2021-05-05 18:00:00,0.0,0.0,0.0,0.0
2021-05-05 19:00:00,0.0,800422.1907049029,42.01111781849394,0.0
2021-05-05 20:00:00,0.0,2068982.7087416844,42.49072520824283,0.0
2021-05-05 21:00:00,0.0,2337211.5116992025,41.969670819799646,0.0
2021-05-05 22:00:00,0.0,8503469.003212744,42.38196920446656,0.0
2021-05-05 23:00:00,0.0,8932806.773700818,42.129562376801886,0.0
2021-05-06 00:00:00,0.0,9279273.363568652,41.631955484005594,0.0
2021-05-06 01:00:00,0.0,10137959.553094504,41.68882551405835,0.0
2021-05-06 02:00:00,0.0,10557257.231054412,41.94253650416118,0.0
2021-05-06 03:00:00,0.0,11737882.7284515,41.96496995726378,0.0
2021-05-06 04:00:00,0.0,12660636.331801409,41.84594042484453,0.0
2021-05-06 05:00:00,0.0,12562983.225271152,41.91445989309553,0.0
2021-05-06 06:00:00,0.0,12422713.276965052,41.398424844759944,0.0
