date,feesUSD,priceUSD,totalValueLockedUSD,volumeUSD
2021-05-05,4235.436317365648,42.129562376801886,8932806.773700818,1346557.4100792368
2021-05-06,41037.67681527518,40.045211085551784,25916422.508703128,12466870.032496547
2021-05-07,28738.594425296727,39.66533204379281,31537766.172461785,9418263.065083085
2021-05-08,58929.460711764455,40.57203107661687,46326352.72512074,19320941.56198156
2021-05-09,43664.91863063905,39.337885353769856,56332029.47843598,14490631.007198237
2021-05-10,60994.926610918614,36.6099653458366,52222018.45456778,20174456.329728138
2021-05-11,26861.925579851093,38.637054770429486,59695032.96661122,8954067.516573085
2021-05-12,185181.93214032392,35.64898762015302,54828802.2664165,61387615.53239739
2021-05-13,116076.38453988892,37.09118694911444,56739856.03733753,38580428.81412577
2021-05-14,39277.649200073705,40.24515304389808,65678077.374221586,13117765.840804787
2021-05-15,91540.22976681078,36.427722670107464,44319325.964602515,30383571.868345305
2021-05-16,86326.2668799308,36.56755915662297,39792546.544308595,28731343.4619592
2021-05-17,100528.72650501876,33.36687040833797,50179387.71802519,33508218.28502079
2021-05-18,94432.13055040684,35.132735583525175,39861512.22570546,31465230.67852972
2021-05-19,170807.29400598462,23.96953984112724,46040894.48343359,56773510.08151066
2021-05-20,94464.28497028984,26.284798772735503,49452041.72666661,30451463.147107605
2021-05-21,98030.03785009104,21.477848749035836,37498908.74907751,32393361.536769234
2021-05-22,121830.40249526384,20.59083688464217,36263170.17210849,40607606.002528355
2021-05-23,120699.94979106604,16.931947974015785,27328472.11018837,40148836.54765568
2021-05-24,110092.56618906856,24.739449156158162,33457658.35126647,36770322.08382926
2021-05-25,135494.43737483685,25.181691169187193,39690175.17808894,45032631.37594098
2021-05-26,121622.54086024471,29.133996034966565,35940591.00885371,39600615.8836969
2021-05-27,116807.9957651854,28.580315891704327,33910576.59933074,38893394.43145273
2021-05-28,97320.6629284704,25.837269056658982,28675056.095886648,32292784.9782513
2021-05-29,89346.25608282554,23.138623254714297,32379994.835180476,29582119.46984538
2021-05-30,84657.98295392096,25.78388738760756,31638300.128652584,28014699.951719146
2021-05-31,89629.96853594904,28.363346732877268,44626577.83084544,29739160.432394937
2021-06-01,70480.26386254538,27.54105778584719,44788276.735322066,23562196.972690687
2021-06-02,69720.31755587024,27.700474353985513,51913132.13613916,23409756.99699133
2021-06-03,55674.425324339725,28.70102922454128,61857627.21376872,18534155.09625269
2021-06-04,37177.04476567955,26.54443502284496,57182183.50324092,12287059.750491332
2021-06-05,29496.957522236768,25.618208894244763,56986030.2213254,9797044.11258188
2021-06-06,26118.66714674497,25.719552663347113,58864728.55207045,8591582.986196198
2021-06-07,45403.322451099535,24.179854782891905,60285788.40139157,14711453.159949888
2021-06-08,49857.463122499976,23.495708586757093,58145512.4056756,16529814.079566432
2021-06-09,70159.29690046982,25.04936385069345,56860604.590347774,23056361.271343555
2021-06-10,31911.72428498745,23.650667183765215,57935675.28507656,10658746.435712244
2021-06-11,81708.97381486205,21.853795636638047,59248819.96834403,26877140.204727333
2021-06-12,49607.973189981894,21.365954084032296,63369415.76918353,16572411.093629144
2021-06-13,54299.183574152834,23.194226243056235,61833221.73118634,18265683.32672812
2021-06-14,34359.01251139849,23.987338700828488,62702850.10365668,11511707.343038712
2021-06-15,17361.950827305634,23.56745271841024,58905583.56274462,5873297.496653574
2021-06-16,25718.95011887565,21.66678646887283,49706347.77659521,8575592.447009511
2021-06-17,19703.632098272912,22.086363826941177,47982185.55320761,6662842.303940587
2021-06-18,24665.03179586714,20.380742373509833,44669082.8117519,8276954.127616059
2021-06-19,14103.357933918449,19.91729942472021,42884426.74602366,4749931.362096424
2021-06-20,33917.1330209724,20.73726671574279,43313313.691767335,11347829.419658558
2021-06-21,50186.940435160344,15.865852628596588,39372811.973761275,16688628.876291096
2021-06-22,71656.8968077696,16.298586368642617,34583585.18130434,23756815.414277133
2021-06-23,47464.35999591558,17.727639971485203,38801735.1742538,15843073.752374498
2021-06-24,39341.55357809439,18.06463192386953,38151562.320169434,13101404.178080983
2021-06-25,29599.21997364619,15.99333514041448,37617785.45561529,9869225.290733973
2021-06-26,34392.41127817433,16.15766037064551,37830919.49109077,11484531.432544747
2021-06-27,13068.745012159477,17.03652727410082,41398606.05427909,4374806.05290091
2021-06-28,23026.74485923019,17.63037348785081,44048736.14231826,7710376.237788112
2021-06-29,25494.06436845076,18.551895631239173,45279042.245454945,8533382.717543775
2021-06-30,24331.51385654167,19.204190068670147,47893827.794682026,8110505.209898354
2021-07-01,19511.92152622953,17.922679932857466,44090531.71702026,6508318.727290682
2021-07-02,11071.538309836698,18.17337343016526,44967350.2747653,3715542.010401481
2021-07-03,29732.014784442566,19.411017386339708,44388935.62244525,10207016.19921452
2021-07-04,79830.52070435563,20.868729200583864,44577108.65614106,26696297.109908104
2021-07-05,44840.86680311326,20.12638889122928,41011598.50327304,15118300.01131292
2021-07-06,119145.59240896552,22.286263326069143,37435429.248862006,38229062.68665087
2021-07-07,67928.62212603526,22.340358316604608,38374294.76665574,22517788.882979505
2021-07-08,39780.23187573505,20.338205371515116,34650384.60414479,12941083.971831003
2021-07-09,22018.913269642962,21.14543848490472,33586805.16574358,7289283.818582103
2021-07-10,14158.353728902684,20.250538111217598,35597980.9199519,4727399.098202958
2021-07-11,15141.550507558764,20.61868975435153,35512409.94388548,5099573.034957744
2021-07-12,25271.207917790656,19.576784380565783,34040589.400491595,8350260.804608549
2021-07-13,24858.75385905345,18.414770819111656,35071585.249053925,8252257.622390651
2021-07-14,47745.498225184514,17.866010333087697,41800344.670390785,15665329.534598283
2021-07-15,38348.888862319094,16.968739969644503,43060857.885713175,12817610.182519875
2021-07-16,25223.131044409904,16.35805947710652,41595188.68411702,8410742.312593514
2021-07-17,33329.224678872255,16.14710957871524,40993241.17321189,11130709.386714015
2021-07-18,12001.223351882287,16.345145739993946,40360466.594029374,4020426.551039077
2021-07-19,28152.12612041335,15.777853049505024,38677311.5299877,9339067.871714642
2021-07-20,21594.22722457293,14.618659255659969,39148786.80407635,7120018.097322595
2021-07-21,22767.065075079558,16.687409322715418,44106259.622587375,7600290.600463286
2021-07-22,20420.30937402011,17.48387908009196,42386777.00828212,6748868.414546189
2021-07-23,32100.130809158854,18.584889359206976,43705957.132048815,10645680.548787383
2021-07-24,27974.85128349904,18.287076488444043,45423783.68900456,9276506.572155694
2021-07-25,16206.68923569988,18.18516601269507,50909257.897862464,5365761.147544027
2021-07-26,33117.27697151464,18.60517913014795,49768806.12640193,11005343.818996748
2021-07-27,20490.37640961329,18.79350216446964,50898208.84142323,6816591.590050577
2021-07-28,34437.72252039124,18.955127807203215,52393396.77951426,11476618.489099044
2021-07-29,24332.55460705283,19.57330813071997,54565925.54580011,8136069.889870662
2021-07-30,45616.10273611227,21.04559427058576,54017762.81080893,15210535.179043137
2021-07-31,28533.445548419488,21.889716102986213,55044873.45227523,9522338.019468777
2021-08-01,48177.9329380137,22.045277393381095,54830802.55124949,16083920.221995262
2021-08-02,32341.831510268355,22.463652708900877,56936873.1300741,10788080.041720398
