date,herfindahl_index,number_of_holders,total_supply_held,whale_balance_pct,whale_balance_total,whale_count
2020-11-20 00:00:00.000 UTC,0.0004554052978952035,3665,27360230129.815815,0.9986008090547467,27321947943.55813,79
2020-11-21 00:00:00.000 UTC,0.0004245053570736693,3262,24487840025.0422,0.9986130727249001,24453877171.803185,58
2020-11-22 00:00:00.000 UTC,0.0004533262357399611,2874,23236296465.700787,0.9986907490612514,23205874322.74003,68
2020-11-23 00:00:00.000 UTC,0.00042355178506843505,3126,23856132470.355904,0.9987637753935656,23826640932.38169,70
2020-11-24 00:00:00.000 UTC,0.00034747357344929824,3449,30082068377.27929,0.9988034719953728,30046074340.028763,79
2020-11-25 00:00:00.000 UTC,0.0005782416703126522,2688,18765146827.37366,0.9986147967399076,18739153284.81227,56
2020-11-26 00:00:00.000 UTC,0.0003812574564855947,2407,22267430187.850212,0.9985517193524561,22235180699.638615,81
2020-11-27 00:00:00.000 UTC,0.0006631688871945696,2041,14457129310.04174,0.9984554134216536,14434799022.148031,58
2020-11-28 00:00:00.000 UTC,0.0007162769787672066,2192,14666552654.587925,0.9986845431029484,14647259436.742477,60
2020-11-29 00:00:00.000 UTC,0.0009485727747664387,1989,13500560880.91151,0.9984930338288853,13480215992.372902,49
2020-11-30 00:00:00.000 UTC,0.0007812764610576727,2262,15828857658.91816,0.9985887176355188,15806518671.254246,57
2020-12-01 00:00:00.000 UTC,0.0007075127491455928,2287,16628853115.434847,0.9983140175538545,16600817160.982693,63
2020-12-02 00:00:00.000 UTC,0.00040463985769606645,2507,27041836628.02507,0.9986440000489514,27005167898.881203,64
2020-12-03 00:00:00.000 UTC,0.0005745184310659508,2451,16899609512.323307,0.9986025316041333,16875992842.127346,49
2020-12-04 00:00:00.000 UTC,0.0007729352442621989,2179,14187063007.115635,0.9979595849396399,14158115510.093637,44
2020-12-05 00:00:00.000 UTC,0.0007508959661347201,1954,13979558349.803856,0.9983289997933152,13956198504.911972,45
2020-12-06 00:00:00.000 UTC,0.0008017530853678691,2031,14567786384.136938,0.9986633337865447,14548314116.272429,49
2020-12-07 00:00:00.000 UTC,0.0006413567698870753,2073,14610966542.288868,0.998384406126033,14587361154.250408,57
2020-12-08 00:00:00.000 UTC,0.0007900705285668303,2049,13098262013.352556,0.9982450893534055,13075275733.89344,69
2020-12-09 00:00:00.000 UTC,0.0007981714065033799,1918,13868925337.299433,0.9986799885229516,13850618196.67987,77
2020-12-10 00:00:00.000 UTC,0.0008763650619335198,1626,11342910866.75668,0.9979768861656457,11319962866.860296,54
2020-12-11 00:00:00.000 UTC,0.0006832193347882646,1904,12552794548.24835,0.9982537397555483,12530874102.171974,68
2020-12-12 00:00:00.000 UTC,0.0009372258882205213,1757,10496813943.498837,0.9981561008501166,10477458877.191935,53
2020-12-13 00:00:00.000 UTC,0.0009284012123590367,1800,10827245556.893852,0.9980420653219817,10806046517.35059,52
2020-12-14 00:00:00.000 UTC,0.0008753967870766498,1708,10217892816.883053,0.9980496318649141,10197964164.325281,64
2020-12-15 00:00:00.000 UTC,0.0010863393347388941,1560,9216482490.85315,0.9982417623660405,9200277724.485003,67
2020-12-16 00:00:00.000 UTC,0.0010372171996676201,1694,9440729287.669266,0.9983860618060258,9425492534.092926,66
2020-12-17 00:00:00.000 UTC,0.0006114787002189432,2207,15755107190.767399,0.9982662892854057,15727792392.621183,76
2020-12-18 00:00:00.000 UTC,0.0009061653687399118,1931,11350374582.081247,0.9984795939846296,11333117404.289944,67
2020-12-19 00:00:00.000 UTC,0.00040598514244140745,2844,23137476780.814507,0.9985594124812646,23104145220.549034,69
2020-12-20 00:00:00.000 UTC,0.0007267650812308537,2020,13950120677.45662,0.9985052097449372,13929268173.011007,50
2020-12-21 00:00:00.000 UTC,0.0008460235486234038,1763,11494785617.342972,0.9980772017862353,11472683464.090336,63
2020-12-22 00:00:00.000 UTC,0.0005864898639281707,1968,13906135701.254412,0.9983744867854784,13883531093.909092,67
2020-12-23 00:00:00.000 UTC,0.0008614512095701247,1876,11714594382.154861,0.9985520563352471,11697632309.43407,67
2020-12-24 00:00:00.000 UTC,0.0008914773739926189,1816,10227451481.771786,0.9984710516466183,10211814236.66944,58
2020-12-25 00:00:00.000 UTC,0.0008868624023425584,2032,12829916402.058811,0.9987824512940175,12814295353.945621,54
2020-12-26 00:00:00.000 UTC,0.00070122630160818,2345,14227726391.747463,0.9984530355912705,14205716605.402288,59
